Order_ID,Order_Date,Customer_ID,Customer_Email,Product_ID,Product_Name,Category,Region,Sales_Channel,Sales_Representative,Quantity,Unit_Price,Unit_Cost,Discount_Rate,Payment_Method,Order_Status
ORD-10001,2025-01-13,C1029,client36@example.com,P1002,Wireless Mouse,Accessories,Bucharest,Marketplace,Ioana Pavel,12,85.0,44.0,0.05,Card,Completed
ORD-10002,2025-08-05,C1028,client60@example.com,P1010,Headset,Electronics,West,Marketplace,Andrei Pop,1,195.0,105.0,0,Bank Transfer,Completed
ORD-10003,2025-08-03,C1036,client2@example.com,P1009,Webcam,Electronics,North,Marketplace,Mihai Radu,4,230.0,132.0,0.1,Cash,Returned
ORD-10004,2025-03-21,C1012,client98@example.com,P1005,24-inch Monitor,Electronics,Bucharest,Store,Elena Stan,4,720.0,510.0,0.05,Cash,Completed
ORD-10005,2025-08-24,C1011,client142@example.com,P1001,Laptop Stand,Accessories,South,Marketplace,Ioana Pavel,9,95.0,52.0,0,Cash,Completed
ORD-10006,2025-04-09,C1085,client59@example.com,P1010,Headset,Electronics,South,Online,Maria Ionescu,12,195.0,105.0,0,Card,Completed
ORD-10007,2025-05-23,C1021,client95@example.com,P1007,Office Chair,Furniture,South,Online,Elena Stan,8,840.0,590.0,0.2,Card,Completed
ORD-10008,2025-11-22,C1032,client42@example.com,P1010,Headset,Electronics,East,Store,Elena Stan,3,195.0,105.0,0.15,Bank Transfer,Cancelled
ORD-10009,2025-01-29,C1052,client69@example.com,P1006,27-inch Monitor,Electronics,Bucharest,Online,Ioana Pavel,4,1090.0,790.0,0,Cash,Completed
ORD-10010,2025-12-02,C1059,invalid-email,P1004,USB-C Hub,Accessories,South,Online,Maria Ionescu,8,175.0,98.0,0.1,Cash,Cancelled
ORD-10011,2025-08-08,C1029,client36@example.com,P1010,Headset,Electronics,West,Store,Andrei Pop,10,195.0,105.0,0.1,Card,Completed
ORD-10012,2025-03-20,C1055,client153@example.com,P1002,Wireless Mouse,Accessories,Bucharest,Store,Mihai Radu,11,85.0,44.0,0,Online Wallet,Cancelled
ORD-10013,2025-05-09,C1093,client30@example.com,P1009,Webcam,Electronics,West,Store,Elena Stan,9,230.0,132.0,0,Card,Cancelled
ORD-10014,2025-08-11,C1123,client68@example.com,P1005,24-inch Monitor,Electronics,West,Online,Ioana Pavel,3,720.0,510.0,0.1,Card,Completed
ORD-10015,2025-11-24,C1020,client96@example.com,P1005,24-inch Monitor,Electronics,North,Marketplace,Ioana Pavel,9,720.0,510.0,0.15,Card,Completed
ORD-10016,2025-06-15,C1119,client93@example.com,P1010,Headset,Electronics,South,Online,Andrei Pop,8,195.0,105.0,0,Bank Transfer,Completed
ORD-10017,2025-02-10,C1105,client18@example.com,P1010,Headset,Electronics,West,Online,Maria Ionescu,2,195.0,105.0,0.2,Online Wallet,Completed
ORD-10018,2025-03-26,C1055,client55@example.com,P1009,Webcam,Electronics,West,Marketplace,Maria Ionescu,5,230.0,132.0,0.15,Cash,Returned
ORD-10019,2025-12-10,C1116,client133@example.com,P1007,Office Chair,Furniture,East,Online,Maria Ionescu,11,840.0,590.0,0.05,Bank Transfer,Completed
ORD-10020,2025-06-23,C1030,client151@example.com,P1002,Wireless Mouse,Accessories,North,Online,Andrei Pop,1,85.0,44.0,0.15,Card,Returned
ORD-10021,2025-02-04,C1066,client61@example.com,P1004,USB-C Hub,Accessories,South,Marketplace,Mihai Radu,1,175.0,98.0,0.05,Bank Transfer,Completed
ORD-10022,2025-03-09,C1061,client63@example.com,P1009,Webcam,Electronics,East,Store,Maria Ionescu,12,230.0,132.0,0.15,Card,Returned
ORD-10023,2025-12-04,C1053,client120@example.com,P1002,Wireless Mouse,Accessories,Bucharest,Marketplace,Andrei Pop,7,85.0,44.0,0.05,Card,Completed
ORD-10024,2025-06-23,C1025,client138@example.com,P1007,Office Chair,Furniture,East,Online,Mihai Radu,2,840.0,590.0,0,Bank Transfer,Completed
ORD-10025,2025-08-25,C1104,client141@example.com,P1005,24-inch Monitor,Electronics,Bucharest,Online,Ioana Pavel,0,720.0,510.0,0,Card,Completed
ORD-10026,2025-05-02,C1062,client55@example.com,P1002,Wireless Mouse,Accessories,East,Online,Maria Ionescu,3,85.0,44.0,0.1,Online Wallet,Completed
ORD-10027,2025-07-19,C1055,client179@example.com,P1001,Laptop Stand,Accessories,West,Marketplace,Mihai Radu,5,95.0,52.0,0.1,Bank Transfer,Completed
ORD-10028,2025-06-01,C1095,client139@example.com,P1004,USB-C Hub,Accessories,Bucharest,Marketplace,Elena Stan,4,175.0,98.0,0,Card,Returned
ORD-10029,2025-10-27,C1021,client15@example.com,P1001,Laptop Stand,Accessories,West,Online,Maria Ionescu,8,95.0,52.0,0.15,Card,Returned
ORD-10030,2025-02-04,C1016,client146@example.com,P1010,Headset,Electronics,North,Marketplace,Ioana Pavel,11,195.0,105.0,0,Card,Completed
ORD-10031,2025-02-11,C1073,client134@example.com,P1010,Headset,Electronics,South,Store,Maria Ionescu,7,195.0,105.0,0.2,Cash,Returned
ORD-10032,2025-05-16,C1083,client77@example.com,P1004,USB-C Hub,Accessories,East,Store,Andrei Pop,7,175.0,98.0,0,Card,Cancelled
ORD-10033,2025-11-15,C1069,client55@example.com,P1008,Standing Desk,Furniture,West,Store,Maria Ionescu,10,1450.0,1030.0,0,Cash,Completed
ORD-10034,2025-05-06,C1057,client140@example.com,P1002,Wireless Mouse,Accessories,South,Marketplace,Ioana Pavel,6,85.0,44.0,0.05,Card,Completed
ORD-10035,2025-06-03,C1034,client30@example.com,P1009,Webcam,Electronics,Bucharest,Marketplace,Ioana Pavel,11,230.0,132.0,0,Bank Transfer,Completed
ORD-10036,2025-05-25,C1044,client53@example.com,P1005,24-inch Monitor,Electronics,South,Marketplace,Mihai Radu,10,720.0,510.0,0,Cash,Cancelled
ORD-10037,2025-02-17,C1006,client1@example.com,P1001,Laptop Stand,Accessories,South,Online,Elena Stan,11,95.0,52.0,0.1,Bank Transfer,Completed
ORD-10038,2025-10-10,C1002,client29@example.com,P1008,Standing Desk,Furniture,Bucharest,Marketplace,Maria Ionescu,12,1450.0,1030.0,0.1,Card,Returned
ORD-10039,2025-10-26,C1017,client11@example.com,P1006,27-inch Monitor,Electronics,South,Store,Andrei Pop,9,1090.0,790.0,0,Cash,Completed
ORD-10040,2025-12-16,C1046,client144@example.com,P1004,USB-C Hub,Accessories,East,Marketplace,Maria Ionescu,4,175.0,98.0,0.2,Bank Transfer,Completed
ORD-10041,2025-04-01,C1095,client86@example.com,P1003,Mechanical Keyboard,Accessories,East,Marketplace,Maria Ionescu,7,265.0,155.0,0,Cash,Completed
ORD-10042,2025-12-26,C1110,client121@example.com,P1003,Mechanical Keyboard,Accessories,North,Online,Mihai Radu,2,265.0,155.0,0.1,Cash,Completed
ORD-10043,2025-04-27,C1025,client103@example.com,P1005,24-inch Monitor,Electronics,South,Store,Andrei Pop,4,720.0,510.0,0,Cash,Cancelled
ORD-10044,2025-11-25,C1108,client138@example.com,P1006,27-inch Monitor,Electronics,South,Online,Andrei Pop,9,1090.0,790.0,0.1,Cash,Cancelled
ORD-10045,2025-10-25,C1077,client112@example.com,P1003,Mechanical Keyboard,Accessories,South,Marketplace,Elena Stan,5,265.0,155.0,0,Online Wallet,Completed
ORD-10046,2025-09-19,C1025,client66@example.com,P1010,Headset,Electronics,Bucharest,Marketplace,Mihai Radu,2,195.0,105.0,0.1,Card,Returned
ORD-10047,2025-10-03,C1095,client172@example.com,P1009,Webcam,Electronics,North,Store,Mihai Radu,11,230.0,132.0,0.2,Card,Cancelled
ORD-10048,2025-11-16,C1093,client77@example.com,P1006,27-inch Monitor,Electronics,West,Store,Mihai Radu,6,1090.0,790.0,0.2,Cash,Completed
ORD-10049,2025-12-23,C1025,client108@example.com,UNKNOWN,Office Chair,Furniture,East,Marketplace,Maria Ionescu,5,840.0,590.0,0.15,Cash,Completed
ORD-10050,2025-10-08,C1027,client111@example.com,P1007,Office Chair,Furniture,West,Marketplace,Elena Stan,1,840.0,590.0,0.05,Online Wallet,Completed
ORD-10051,2025-08-15,C1061,client44@example.com,P1008,Standing Desk,Furniture,Bucharest,Store,Ioana Pavel,11,1450.0,1030.0,0,Cash,Returned
ORD-10052,2025-05-01,C1104,client51@example.com,P1002,Wireless Mouse,Accessories,North,Online,Andrei Pop,11,85.0,44.0,0.05,Bank Transfer,Completed
ORD-10053,2025-11-09,C1114,client162@example.com,P1008,Standing Desk,Furniture,West,Online,Mihai Radu,2,1450.0,1030.0,0.1,Online Wallet,Completed
ORD-10054,2025-05-05,C1001,client28@example.com,P1007,Office Chair,Furniture,East,Online,Maria Ionescu,3,840.0,590.0,0.2,Online Wallet,Cancelled
ORD-10055,2025-10-13,C1018,client119@example.com,P1001,Laptop Stand,Accessories,West,Marketplace,Ioana Pavel,4,95.0,52.0,0,Cash,Completed
ORD-10056,2025-11-10,C1107,client141@example.com,P1008,Standing Desk,Furniture,East,Online,Mihai Radu,12,1450.0,1030.0,0.15,Online Wallet,Completed
ORD-10057,2025-05-07,C1063,client161@example.com,P1005,24-inch Monitor,Electronics,North,Store,Mihai Radu,11,720.0,510.0,0.05,Card,Returned
ORD-10058,2025-05-01,C1115,client139@example.com,P1005,24-inch Monitor,Electronics,Bucharest,Online,Maria Ionescu,5,720.0,510.0,0.05,Bank Transfer,Completed
ORD-10059,2025-12-22,C1009,client107@example.com,P1007,Office Chair,Furniture,East,Store,Ioana Pavel,3,840.0,590.0,0.2,Online Wallet,Completed
